,Unnamed: 0,business_code_x,cust_number_x,total_open_amount_x,cust_payment_terms_x,document_create_date_day,document_create_date_month,document_create_date_year,document_create_date_quarter,delay,Payment date prediction,Aging_Bucket,business_code_y,cust_number_y,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount_y,baseline_create_date,cust_payment_terms_y,invoice_id,isOpen
0,4,2,1,95651.82,15506.0,11,4,2020,2,-1,2020-04-27,0 days,U001,0100031704,DELHAIZE in,,2020.0,1930778026.0,2020-04-13,2020-04-11,2020-04-13,2020-04-28,USD,RV,1.0,,95651.82,2020-04-13,NAA8,1930778026.0,1
1,13,2,10,12446.28,462.0,7,3,2020,1,2,2020-03-13,1-15days,U001,0200803720,DEC systems,,2020.0,1930617757.0,2020-03-07,2020-03-07,2020-03-07,2020-03-11,USD,RV,1.0,,12446.28,2020-03-01,NAM2,1930617757.0,1
2,22,2,5,11889.49,15506.0,6,4,2020,2,1,2020-04-22,1-15days,U001,0200701314,MBM  co,,2020.0,1930750661.0,2020-04-06,2020-04-06,2020-04-06,2020-04-21,USD,RV,1.0,,11889.49,2020-04-06,NAA8,1930750661.0,1
3,29,2,1,20691.83,10524.0,21,3,2020,1,0,2020-04-06,0 days,U001,0200769623,WAL-MAR us,,2020.0,1930683636.0,2020-03-22,2020-03-21,2020-03-22,2020-04-06,USD,RV,1.0,,20691.83,2020-03-22,NAH4,1930683636.0,1
4,45,2,1,8058.89,590.0,31,3,2020,1,-29,2020-05-07,0 days,U001,0200769623,WAL-MAR trust,,2020.0,1930726056.0,2020-04-01,2020-03-31,2020-04-01,2020-06-05,USD,RV,1.0,,8058.89,2020-04-01,NAGD,1930726056.0,1
5,50,2,4,40898.04,15506.0,5,5,2020,2,0,2020-05-21,0 days,U001,0200741831,SUPE corp,,2020.0,1930859629.0,2020-05-06,2020-05-05,2020-05-06,2020-05-21,USD,RV,1.0,,40898.04,2020-05-06,NAA8,1930859629.0,1
6,54,2,156,13789.99,10524.0,3,4,2020,2,0,2020-04-21,0 days,U001,0200759878,SA ,,2020.0,1930743065.0,2020-04-06,2020-04-03,2020-04-06,2020-04-21,USD,RV,1.0,,13789.99,2020-04-06,NAH4,1930743065.0,1
7,61,2,1,23199.16,10524.0,23,3,2020,1,0,2020-04-07,0 days,U001,0200769623,WAL-MAR foundation,,2020.0,1930687042.0,2020-03-23,2020-03-23,2020-03-23,2020-04-07,USD,RV,1.0,,23199.16,2020-03-23,NAH4,1930687042.0,1
8,65,2,1,3565.03,10524.0,13,4,2020,2,0,2020-04-29,0 days,U001,0200769623,WAL-MAR in,,2020.0,1930780831.0,2020-04-14,2020-04-13,2020-04-14,2020-04-29,USD,RV,1.0,,3565.03,2020-04-14,NAH4,1930780831.0,1
9,71,2,1,26398.67,15506.0,18,3,2020,1,0,2020-04-04,0 days,U001,0200704858,WAKE foundation,,2020.0,1930665457.0,2020-03-20,2020-03-18,2020-03-20,2020-04-04,USD,RV,1.0,,26398.67,2020-03-20,NAA8,1930665457.0,1
10,76,2,156,7951.82,10524.0,31,3,2020,1,1,2020-04-16,1-15days,U001,0200759878,SA associates,,2020.0,1930725807.0,2020-03-31,2020-03-31,2020-03-31,2020-04-15,USD,RV,1.0,,7951.82,2020-03-31,NAH4,1930725807.0,1
11,79,2,1,1437.2,950.0,14,4,2020,2,-2,2020-04-28,0 days,U001,0200794332,COST co,,2020.0,1930782387.0,2020-04-15,2020-04-14,2020-04-15,2020-04-30,USD,RV,1.0,,1437.2,2020-04-15,NAAX,1930782387.0,1
12,82,2,1,282.65,10524.0,25,3,2020,1,4,2020-04-13,1-15days,U001,0200769623,WAL-MAR llc,,2020.0,1930699375.0,2020-03-25,2020-03-25,2020-03-25,2020-04-09,USD,RV,1.0,,282.65,2020-03-25,NAH4,1930699375.0,1
13,86,2,2,50123.59,15506.0,29,2,2020,1,3,2020-03-17,1-15days,U001,0200739534,OK corporation,,2020.0,1930583245.0,2020-02-28,2020-02-29,2020-02-28,2020-03-14,USD,RV,1.0,,50123.59,2020-02-28,NAA8,1930583245.0,1
14,90,2,2,87170.76,15506.0,25,3,2020,1,1,2020-04-13,1-15days,U001,0200761734,H E BUT us,,2020.0,1930701258.0,2020-03-28,2020-03-25,2020-03-28,2020-04-12,USD,RV,1.0,,87170.76,2020-03-28,NAA8,1930701258.0,1
15,93,2,3,64797.22,15506.0,21,3,2020,1,3,2020-04-10,1-15days,U001,0200727272,BROOKS co,,2020.0,1930683917.0,2020-03-23,2020-03-21,2020-03-23,2020-04-07,USD,RV,1.0,,64797.22,2020-03-23,NAA8,1930683917.0,1
16,94,2,4,14307.57,15506.0,8,3,2020,1,1,2020-03-24,1-15days,U001,0200936373,SUPE corporation,,2020.0,1930622262.0,2020-03-08,2020-03-08,2020-03-08,2020-03-23,USD,RV,1.0,,14307.57,2020-03-08,NAA8,1930622262.0,1
17,99,2,1,3255.45,10524.0,1,3,2020,1,1,2020-03-18,1-15days,U001,0200769623,WAL-MAR in,,2020.0,1930585634.0,2020-03-02,2020-03-01,2020-03-02,2020-03-17,USD,RV,1.0,,3255.45,2020-03-02,NAH4,1930585634.0,1
18,104,2,5,33361.11,15506.0,1,4,2020,2,1,2020-04-16,1-15days,U001,0200337148,COAS in,,2020.0,1930729412.0,2020-03-31,2020-04-01,2020-03-31,2020-04-15,USD,RV,1.0,,33361.11,2020-03-31,NAA8,1930729412.0,1
19,111,2,1,38064.67,10524.0,9,3,2020,1,0,2020-03-25,0 days,U001,0200769623,WAL-MAR llc,,2020.0,1930623770.0,2020-03-10,2020-03-09,2020-03-10,2020-03-25,USD,RV,1.0,,38064.67,2020-03-10,NAH4,1930623770.0,1
20,121,2,1,30956.41,10524.0,2,4,2020,2,1,2020-04-19,1-15days,U001,0200769623,WAL-MAR trust,,2020.0,1930733134.0,2020-04-03,2020-04-02,2020-04-03,2020-04-18,USD,RV,1.0,,30956.41,2020-04-03,NAH4,1930733134.0,1
21,135,2,2,22009.39,462.0,20,3,2020,1,7,2020-04-02,1-15days,U001,0200230690,DECA llc,,2020.0,1930674755.0,2020-03-20,2020-03-20,2020-03-20,2020-03-26,USD,RV,1.0,,22009.39,2020-03-16,NAM2,1930674755.0,1
22,141,2,1,8869.9,10524.0,26,4,2020,2,0,2020-05-12,0 days,U001,0200769623,WAL-MAR in,,2020.0,1930827082.0,2020-04-27,2020-04-26,2020-04-27,2020-05-12,USD,RV,1.0,,8869.9,2020-04-27,NAH4,1930827082.0,1
23,152,2,1,15202.21,10524.0,6,5,2020,2,1,2020-05-23,1-15days,U001,0200769623,WAL-MAR ,,2020.0,1930862815.0,2020-05-07,2020-05-06,2020-05-07,2020-05-22,USD,RV,1.0,,15202.21,2020-05-07,NAH4,1930862815.0,1
24,154,2,5,23700.68,15506.0,5,4,2020,2,0,2020-04-21,0 days,U001,0200148860,DOLLA corp,,2020.0,1930751635.0,2020-04-06,2020-04-05,2020-04-06,2020-04-21,USD,RV,1.0,,23700.68,2020-04-06,NAA8,1930751635.0,1
25,157,2,6,21112.22,712.0,9,4,2020,2,1,2020-04-24,1-15days,U001,0200772670,ASSOCIAT ,,2020.0,1930767646.0,2020-04-08,2020-04-09,2020-04-08,2020-04-23,USD,RV,1.0,,21112.22,2020-04-08,NAU5,1930767646.0,1
26,159,2,1,2373.96,10524.0,26,2,2020,1,2,2020-03-15,1-15days,U001,0200769623,WAL-MAR foundation,,2020.0,1930571324.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,,2373.96,2020-02-27,NAH4,1930571324.0,1
27,165,2,3,20470.29,15506.0,24,3,2020,1,0,2020-04-07,0 days,U001,200704045,RA in,,2020.0,1930690761.0,2020-03-23,2020-03-24,2020-03-23,2020-04-07,USD,RV,1.0,,20470.29,2020-03-23,NAA8,1930690761.0,1
28,173,2,1,3571.2,15506.0,20,4,2020,2,0,2020-05-08,0 days,U001,0200290370,BARGAIN  llc,,2020.0,1930803254.0,2020-04-23,2020-04-20,2020-04-23,2020-05-08,USD,RV,1.0,,3571.2,2020-04-23,NAA8,1930803254.0,1
29,178,2,1,2758.45,575.0,11,3,2020,1,76,2020-05-30,Greater than 60 days,U001,CCU013,KRAFT F trust,,2020.0,1930633987.0,2020-03-15,2020-03-11,2020-03-15,2020-03-15,USD,RV,1.0,,2758.45,2020-03-15,NAX2,1930633987.0,1
30,188,2,13,340.88,590.0,17,4,2020,2,-12,2020-06-09,0 days,U001,0200078795,H T H co,,2020.0,1930797896.0,2020-04-17,2020-04-17,2020-04-17,2020-06-21,USD,RV,1.0,,340.88,2020-04-17,NAGD,1930797896.0,1
31,196,2,156,13976.96,10524.0,5,3,2020,1,0,2020-03-22,0 days,U001,0200759878,SA associates,,2020.0,1930608463.0,2020-03-07,2020-03-05,2020-03-07,2020-03-22,USD,RV,1.0,,13976.96,2020-03-07,NAH4,1930608463.0,1
32,198,2,12,7664.54,15506.0,21,4,2020,2,0,2020-05-07,0 days,U001,0200744019,TARG associates,,2020.0,1930809785.0,2020-04-22,2020-04-21,2020-04-22,2020-05-07,USD,RV,1.0,,7664.54,2020-04-22,NAA8,1930809785.0,1
33,205,2,1,2214.31,10524.0,2,3,2020,1,2,2020-03-21,1-15days,U001,0200769623,WAL-MAR in,,2020.0,1930580445.0,2020-03-04,2020-03-02,2020-03-04,2020-03-19,USD,RV,1.0,,2214.31,2020-03-04,NAH4,1930580445.0,1
34,206,2,1,24155.02,15506.0,5,3,2020,1,0,2020-03-19,0 days,U001,0200707822,PUBLI llc,,2020.0,1930605633.0,2020-03-04,2020-03-05,2020-03-04,2020-03-19,USD,RV,1.0,,24155.02,2020-03-04,NAA8,1930605633.0,1
35,212,2,13,159573.93,15506.0,4,5,2020,2,0,2020-05-18,0 days,U001,200792293,UNIFIE corporation,,2020.0,1930843149.0,2020-05-03,2020-05-04,2020-05-03,2020-05-18,USD,RV,1.0,,159573.93,2020-05-03,NAA8,1930843149.0,1
36,216,2,1,9477.77,10524.0,4,5,2020,2,0,2020-05-22,0 days,U001,200769623,WAL-MAR corp,,2020.0,1930856839.0,2020-05-07,2020-05-04,2020-05-07,2020-05-22,USD,RV,1.0,,9477.77,2020-05-07,NAH4,1930856839.0,1
37,221,2,5,292.11,15506.0,27,2,2020,1,7,2020-03-20,1-15days,U001,0200726979,BJ'S  ,,2020.0,1930577913.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,,292.11,2020-02-27,NAA8,1930577913.0,1
38,222,2,7,18135.88,348.0,8,4,2020,2,3,2020-04-22,1-15days,U001,0100043936,PAPA JO corp,,2020.0,1930763985.0,2020-04-09,2020-04-08,2020-04-09,2020-04-19,USD,RV,1.0,,18135.88,2020-04-09,NA10,1930763985.0,1
39,227,2,4,52271.6,1354.0,28,4,2020,2,0,2020-05-13,0 days,U001,0200762301,C&S WH corporation,,2020.0,1930832178.0,2020-04-28,2020-04-28,2020-04-28,2020-05-13,USD,RV,1.0,,52271.6,2020-04-28,NAC6,1930832178.0,1
